id,title,topics_from_ner
3310815,Induced Release of a Plant-Defense Volatile ‘Deceptively’ Attracts Insect Vectors to Plants Infected with a Bacterial Pathogen,"chemistry, 0.1991
breastfeeding, 0.1953
pharmacology, 0.1943
sociology, 0.1919
chemical element, 0.1893
forestry science, 0.1891
chemical compound, 0.1882"
3547067,Carbon and Nitrogen Isotopic Survey of Northern Peruvian Plants: Baselines for Paleodietary and Paleoecological Studies,"specialty, 0.2095
Area studies, 0.2050
statistics, 0.2018
regional studies, 0.2013
American studies, 0.2012
agriculture, 0.2009
forestry science, 0.2001"
3668195,The effect of ‘Candidatus Liberibacter asiaticus’ infection on the proteomic profiles and nutritional status of pre-symptomatic and symptomatic grapefruit (Citrus paradisi) plants,"biological process, 0.1955
protein, 0.1943
process, 0.1936
science, 0.1925
biopolymer, 0.1886
research, 0.1884
nutrition, 0.1874"
3672096,Emissions of CH4 and N2O under Different Tillage Systems from Double-Cropped Paddy Fields in Southern China,"Area studies, 0.1849
physics, 0.1842
regional studies, 0.1826
occurrence, 0.1776
physical property, 0.1744
pharmacology, 0.1742
research, 0.1741"
3676804,"Physiological, Biochemical, and Molecular Mechanisms of Heat Stress Tolerance in Plants","biological process, 0.2012
chemistry, 0.1977
group, 0.1963
biopolymer, 0.1938
process, 0.1925
cell, 0.1903
chemical compound, 0.1893"
3676838,Plant Defense against Insect Herbivores,"chemistry, 0.2140
specialty, 0.2071
science, 0.2058
chemical compound, 0.2049
chemical substance, 0.2038
interaction science, 0.2036
biological process, 0.2032"
3818224,Enhanced Methanol Production in Plants Provides Broad Spectrum Insect Resistance,"biological process, 0.1791
process, 0.1745
interaction science, 0.1727
plant, 0.1723
control, 0.1712
social organism behavior, 0.1701
agriculture, 0.1682"
3904951,Diversity and Spatial Structure of Belowground Plant–Fungal Symbiosis in a Mixed Subtropical Forest of Ectomycorrhizal and Arbuscular Mycorrhizal Plants,"statistics, 0.1858
biology, 0.1831
taxon, 0.1816
specialty, 0.1807
forestry science, 0.1805
pedology, 0.1796
botany, 0.1794"
3951315,Effects of Introduced and Indigenous Viruses on Native Plants: Exploring Their Disease Causing Potential at the Agro-Ecological Interface,"taxon, 0.1883
Area studies, 0.1860
regional studies, 0.1837
anthropology, 0.1831
pharmacology, 0.1820
biology, 0.1818
botany, 0.1807"
4067337,Effects of Winter Cover Crops Residue Returning on Soil Enzyme Activities and Soil Microbial Community in Double-Cropping Rice Fields,"agriculture, 0.2157
interaction science, 0.2077
agricultural science, 0.2040
gender studies, 0.2036
botany, 0.2006
education, 0.1995
physics, 0.1984"
4112640,H2O2 mediates the crosstalk of brassinosteroid and abscisic acid in tomato responses to heat and oxidative stresses,"interaction science, 0.1911
chemistry, 0.1903
pharmacology, 0.1892
statistics, 0.1882
American studies, 0.1877
technology, 0.1862
communication studies, 0.1843"
4128675,"Involvement of Potato (Solanum tuberosum L.) MKK6 in Response to Potato virus Y
","protein, 0.2083
chemical compound, 0.2055
biopolymer, 0.2040
taxon, 0.1985
cell biology, 0.1952
mathematics, 0.1946
second-order metaclass, 0.1940"
