article_id,topics
PMC3310815,organism - chemistry - breastfeeding - pharmacology - sociology - chemical element - forestry science
PMC3547067,statistics - area studies - regional studies - science - American studies - agriculture - botany
PMC3668195,organism - biological process - process - science - protein - starch - nutrition
PMC3672096,agriculture - area studies - regional studies - physics - occurrence - geographic region - pharmacology
PMC3676804,biological process - chemistry - protein - process - cell - biopolymer - cell biology
PMC3676838,organism - chemistry - protein - area of mathematics - science - chemical compound - biological process
PMC3818224,protein - biological process - plant - activity - agriculture - pest control - silviculture
PMC3904951,organism - statistics - mathematical analysis - pedology - biology - forestry science - botany
PMC3951315,organism - area studies - regional studies - pharmacology - anthropology - botany - demography
PMC4067337,agriculture - agricultural science - gender studies - botany - education - physics - pharmacology
PMC4112640,chemistry - pharmacology - American studies - technology - statistics - education - cell biology
PMC4128675,area of mathematics - protein - chemical compound - biopolymer - anatomical structure - cell biology - mathematics
PMC4171492,biological process - chemistry - protein - chemical compound - biopolymer - RNA - genome
PMC4237146,organism - communication studies - biological process - information science - pharmacology - protein - botany
PMC4378629,protein - pharmacology - botany - communication studies - branch of biology - science - technology
PMC4379157,agriculture - soil science - pedology - systems engineering - cybernetics - hydrogeology - physics
PMC4392563,organism - chemical compound - protein - chemical substance - biomedical measurand - lycopene - neuroscience
PMC4397498,organism - science - concept - statistics - group - applied mathematics - biology
PMC4421779,mathematical analysis - ecology - agriculture - biology - pharmacology - pedology - soil science
PMC4427476,agriculture - management - chemical substance - chemical compound - agricultural science - chemical element - classification system
PMC4449599,plant - malnutrition - pathology - citation analysis - technology - botany - disease
PMC4501783,chemistry - chemical compound - protein - science - biological process - mathematics - process
PMC4520592,management - agriculture - activity - pharmacology - pedology - soil science - education
PMC4581289,protein - human - botany - anthropology - plant - organisms known by a particular common name - Wikidata metaclass
PMC4598160,biopolymer - protein - chemistry - statistics - genetics - second-order metaclass - regional studies
PMC4623198,branch of science - science - geology - agriculture - natural science - Earth sciences - geophysics
PMC4720047,branch of science - agriculture - education - biology - agricultural science - medicine - science
PMC4824577,protein - biological process - process - social organism behavior - communication - establishment of protein localization to spindle pole body - establishment of protein localization to mitotic spindle pole body
PMC4844397,protein - chemical compound - biological process - carbon - chemistry - oxygen - L-Glutamine
PMC4867051,protein - biological process - chemical compound - process - social organism behavior - DNA - DNA transport
PMC4879578,organism - chemical compound - communication studies - process - biological process - water - research
PMC4898372,protein - chemical compound - cell type - biochemistry - chemistry - biopolymer - chemical substance
PMC4913302,agriculture - regional studies - area studies - pharmacology - science - occurrence - management
PMC4932627,physics - agriculture - botany - statistics - pedology - soil science - library science
PMC4981420,organism - process - botany - chemical compound - art - biological process - visual art
PMC4998141,class - botany - agriculture - Latin American studies - plant - pedology - chiropterology
PMC5011652,chemistry - biology - branch of science - natural science - agriculture - engineering - life
PMC5052518,science - software - soil science - protein - chemical substance - botany - Photosynthetic Pigments in Diatoms
PMC5055509,agriculture - economics - branch of science - mathematical analysis - communication studies - geography - art
PMC5066492,protein - biological process - amino acid - chemical compound - cell biology - immunology - communication studies
PMC5095167,agriculture - chemical compound - chemical substance - base material - Reactive forms of oxygen and chemiluminescence in phagocytizing rabbit alveolar macrophages - urea - water
PMC5125658,organism - chemical compound - protein - medical specialty - chemical element - biopolymer - communication studies
PMC5253511,branch of science - science - statistics - social science - mathematics - biology - forestry science
PMC5299730,class - genome - protein - genetics - plant - botany - biopolymer
PMC5313494,area studies - regional studies - American studies - mathematical analysis - pedology - botany - geographic region
PMC5324297,chemical compound - chemical substance - medicine - regional studies - botany - physics - area studies
PMC5362684,protein - biological process - glucose - chemical compound - L-Arginine - gamma-aminobutyric acid reuptake - γ-aminobutyric acid
PMC5373544,class - science - agriculture - statistics - agricultural science - business administration - management
PMC5413563,protein - mathematics - cell biology - mathematical analysis - morphology - American studies - botany
PMC5441857,protein - biological process - chemical compound - biopolymer - limnology - genetics - communication studies
PMC5447229,organism - chemistry - chemical compound - pharmacology - chemical element - biological process - carbon
PMC5465592,class - software - agriculture - African studies - silviculture - science - forestry science
PMC5472609,pharmacology - agriculture - glutathione - fertilizer - drug - urea - medication
PMC5521873,class - breastfeeding - statistics - biological process - process - protein - communication studies
PMC5559270,chemistry - chemical compound - protein - biological process - chemical substance - chemical element - RNA
PMC5579920,agriculture - area of mathematics - computer science - concept - management - software - science
PMC5620588,protein - chemistry - concept - statistics - group - botany - process
PMC5633626,interaction science - protein - science - chemistry - biological process - biopolymer - chemical compound
PMC5637878,philosophy - property - agriculture - statistics - logic - state - management
PMC5669304,geography - mathematics - mathematical analysis - pedology - statistics - soil science - geographic location
PMC5688476,protein - chemistry - chemical compound - biological process - cholesterol - botany - communication studies
PMC5738964,agriculture - concept - marketing - agricultural science - breastfeeding - economic branch - sales
PMC5755014,protein - chemical compound - biological process - chemical substance - acetone - pharmacology - establishment of protein localization to spindle pole body
PMC5758783,agriculture - pomology - water - fruit - botany - pharmacology - pedology
PMC5762720,organism - group - class - activity - Hymenoptera - concept - series
PMC5763371,interaction science - botany - information science - education - interaction - pharmacology - science
PMC5800158,biological process - protein - chemistry - process - food processing - chemical compound - inorganic compound
PMC5853279,biological process - materials science - protein - mathematics - process - biopolymer - technology
PMC5860692,process - biochemistry - biological process - protein - statistics - pharmacology - biopolymer
PMC5882813,organism - chemistry - statistics - anthropology - communication studies - chemical compound - botany
PMC5908804,protein - chemical compound - statistics - chemical substance - edition philology - Database theory - education
PMC5935394,regional studies - science - area studies - teaching - statistics - mathematics - branch of science
PMC5995558,plant - science -  - transport sciences - botany - research - transport
PMC6013986,agriculture - science - regional studies - area studies - Earth sciences - agricultural science - meteorology
PMC6021986,agriculture - concept - philosophy - marketing - area of mathematics - activity - aviation
PMC6055696,biology - agriculture - agricultural science - management - statistics - information science - botany
PMC6066661,plant - branch of science - medicine - botany - education - anthropology - literary studies
PMC6070203,agriculture - breastfeeding - science - statistics - mathematics - software - botany
PMC6084956,protein - biopolymer - mathematics - statistics - chemical compound - chemical substance - soil science
PMC6166800,business administration - management - political science - science - agricultural science - agriculture - inorganic chemistry
PMC6191707,biology - branch of biology - branch of science - plant - botany - profession - Asian tiger mosquito
PMC6198449,biological process - chemical compound - social organism behavior - protein - L-Cysteine - glutathione - process
PMC6213855,chemistry - organism - chemical compound - branch of science - science - work - software
PMC6215673,plant - medicine - ethnopharmacology - African studies - statistics - information science - concept
PMC6232530,organism - chemical compound - pharmacology - communication studies - botany - biomedical engineering - education
PMC6242374,branch of science - chemistry - science - agriculture - medicine - automation - engineering
PMC6262949,chemical substance - base material - colourant - chemical compound - textile - human - organism
PMC6277847,mathematics - genetics - American studies - botany - technology - gender studies - communication studies
PMC6322579,organism - chemistry - branch of science - chemical compound - organic chemistry - engineering - biochemistry
PMC6326430,security - American studies - property - area studies - geographic region - statistics - regional studies
PMC6337918,chemical compound - protein - biological process - glycine - L-Alanine - amino acid - L-Cysteine
PMC6358044,agriculture - chemistry - branch of science - chemical substance - chemical element - classification system - engineering
PMC6366173,protein - plant - botany - pharmacology - Treatments for schizophrenia: a critical review of pharmacology and mechanisms of action of antipsychotic drugs. - organism - Arabidopsis thaliana
PMC6376693,cell - cytology - cellular component - biological process - botany - statistics - biological component
PMC6390929,regional studies - agriculture - area studies - agricultural science - software - construction - horticulture
PMC6390932,European studies - science - education - soil science - protein - pedology - hydrogeology
PMC6394436,security - science - economics - software - regional studies - library science - social science
PMC6399567,protein - cell - cell type - tissue - biological process - multicellular structure - cell biology
PMC6404675,agriculture - soil science - occupation - pedology - archaeology - systems engineering - cybernetics
PMC6412671,protein - chemistry - chemical compound - biological process - science - water - glycine
PMC6417397,science - marketing - philosophy - ecology - agriculture - concept - social science
PMC6417402,security - science - social science - economics - agriculture - sociology - food processing
PMC6449481,organism - science - automation - mathematics - statistics - mathematical analysis - botany
PMC6471123,agriculture - branch of science - education - concept - computer security - teaching - social science
PMC6471620,organism - biological process - process - social organism behavior - protein - establishment of protein localization to spindle pole body - establishment of protein localization to mitotic spindle pole body
PMC6473438,botany - plant - biochemistry - software - medicine - economic branch - plant organ
PMC6514985,agriculture - science - sociology - social science - biology - management - software
PMC6524069,organism - mathematics - mathematical analysis - automation - logic - art - pure mathematics
